"ActorFolder","File","Line","Damage","Effect"
"ovl_Boss_Sst","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_Boss_Sst\z_boss_sst_colchk.c","339","4","0x4"
"ovl_Boss_Va","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_Boss_Va\z_boss_va.c","372","0","0xD"
"ovl_En_Am","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Am\z_en_am.c","149","0","AM_DMGEFF_MAGIC_FIRE_LIGHT"
"ovl_En_Anubice","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Anubice\z_en_anubice.c","89","0","ANUBICE_DMGEFF_NONE"
"ovl_En_Bb","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Bb\z_en_bb.c","187","0","0x6"
"ovl_En_Bb","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Bb\z_en_bb.c","152","0","0x6"
"ovl_En_Bb","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Bb\z_en_bb.c","117","3","0x8"
"ovl_En_Bigokuta","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Bigokuta\z_en_bigokuta.c","136","0","0x0"
"ovl_En_Bili","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Bili\z_en_bili.c","98","0","BIRI_DMGEFF_NONE"
"ovl_En_Bw","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Bw\z_en_bw.c","112","0","0x6"
"ovl_En_Crow","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Crow\z_en_crow.c","86","0","0x0"
"ovl_En_Cs","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Cs\z_en_cs.c","74","0","0x0"
"ovl_En_Daiku","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Daiku\z_en_daiku.c","101","0","0x0"
"ovl_En_Daiku_Kakariko","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Daiku_Kakariko\z_en_daiku_kakariko.c","83","0","0x0"
"ovl_En_Dekubaba","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Dekubaba\z_en_dekubaba.c","210","0","DEKUBABA_DMGEFF_NONE"
"ovl_En_Dekubaba","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Dekubaba\z_en_dekubaba.c","173","0","DEKUBABA_DMGEFF_NONE"
"ovl_En_Dekunuts","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Dekunuts\z_en_dekunuts.c","90","0","0x0"
"ovl_En_Dh","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Dh\z_en_dh.c","118","0","0x0"
"ovl_En_Dha","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Dha\z_en_dha.c","60","0","0x0"
"ovl_En_Dodongo","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Dodongo\z_en_dodongo.c","225","0","0x6"
"ovl_En_Eiyer","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Eiyer\z_en_eiyer.c","95","4","0x0"
"ovl_En_Fd_Fire","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Fd_Fire\z_en_fd_fire.c","70","0","0x0"
"ovl_En_Firefly","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Firefly\z_en_firefly.c","102","0","0x0"
"ovl_En_Floormas","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Floormas\z_en_floormas.c","104","4","0x4"
"ovl_En_Fz","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Fz\z_en_fz.c","142","0","0x0"
"ovl_En_GeldB","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_GeldB\z_en_geldb.c","196","3","GELDB_DMG_UNK_D"
"ovl_En_Gs","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Gs\z_en_gs.c","80","0","0xB"
"ovl_En_Ik","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Ik\z_en_ik.c","157","0","0x6"
"ovl_En_Mb","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Mb\z_en_mb.c","236","0","ENMB_DMGEFF_FREEZE"
"ovl_En_Mb","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Mb\z_en_mb.c","201","0","ENMB_DMGEFF_FREEZE"
"ovl_En_Mm","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Mm\z_en_mm.c","98","0","0x0"
"ovl_En_Ny","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Ny\z_en_ny.c","88","0","0x0"
"ovl_En_Okuta","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Okuta\z_en_okuta.c","100","0","0x0"
"ovl_En_Peehat","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Peehat\z_en_peehat.c","158","0","PEAHAT_DMG_EFF_LIGHT_ICE_ARROW"
"ovl_En_Po_Field","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Po_Field\z_en_po_field.c","118","0","0x0"
"ovl_En_Po_Sisters","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Po_Sisters\z_en_po_sisters.c","125","0","0x0"
"ovl_En_Poh","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Poh\z_en_poh.c","130","0","0x0"
"ovl_En_Rd","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Rd\z_en_rd.c","89","3","0xD"
"ovl_En_Reeba","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Reeba\z_en_reeba.c","57","0","0x0"
"ovl_En_Rr","C:\Projects\Shipwright\soh\src\overlays\actors\ovl_En_Rr\z_en_rr.c","147","10","RR_DMG_LIGHT_MAGIC"
